grid-i,grid-j,lon,lat,class
0,23,23.4384444463,37.8891505835,Agricultural + Semi-natural areas + Wetlands
0,24,23.4384444463,37.8919021507,Agricultural + Semi-natural areas + Wetlands
0,25,23.4384444463,37.8946537178,Agricultural + Semi-natural areas + Wetlands
0,26,23.4384444463,37.897405285,Agricultural + Semi-natural areas + Wetlands
0,27,23.4384444463,37.9001568521,Agricultural + Semi-natural areas + Wetlands
0,28,23.4384444463,37.9029084193,Agricultural + Semi-natural areas + Wetlands
1,19,23.4420048246,37.8781443149,Other roads and associated land
1,20,23.4420048246,37.8808958821,Other roads and associated land
1,23,23.4420048246,37.8891505835,Agricultural + Semi-natural areas + Wetlands
1,24,23.4420048246,37.8919021507,Agricultural + Semi-natural areas + Wetlands
1,25,23.4420048246,37.8946537178,Agricultural + Semi-natural areas + Wetlands
1,26,23.4420048246,37.897405285,Agricultural + Semi-natural areas + Wetlands
1,27,23.4420048246,37.9001568521,Agricultural + Semi-natural areas + Wetlands
1,28,23.4420048246,37.9029084193,Agricultural + Semi-natural areas + Wetlands
2,18,23.4455652028,37.8753927478,Other roads and associated land
2,19,23.4455652028,37.8781443149,Other roads and associated land
2,20,23.4455652028,37.8808958821,Other roads and associated land
2,24,23.4455652028,37.8919021507,Agricultural + Semi-natural areas + Wetlands
2,25,23.4455652028,37.8946537178,Agricultural + Semi-natural areas + Wetlands
2,26,23.4455652028,37.897405285,Agricultural + Semi-natural areas + Wetlands
2,27,23.4455652028,37.9001568521,Agricultural + Semi-natural areas + Wetlands
2,28,23.4455652028,37.9029084193,Agricultural + Semi-natural areas + Wetlands
2,29,23.4455652028,37.9056599864,Agricultural + Semi-natural areas + Wetlands
2,31,23.4455652028,37.9111631207,Other roads and associated land
2,32,23.4455652028,37.9139146879,Other roads and associated land
2,33,23.4455652028,37.916666255,Other roads and associated land
2,34,23.4455652028,37.9194178222,Other roads and associated land
2,35,23.4455652028,37.9221693893,Other roads and associated land
2,36,23.4455652028,37.9249209565,Other roads and associated land
2,46,23.4455652028,37.9524366279,Other roads and associated land
2,47,23.4455652028,37.9551881951,Other roads and associated land
2,50,23.4455652028,37.9634428965,Other roads and associated land
2,51,23.4455652028,37.9661944637,Other roads and associated land
2,54,23.4455652028,37.9744491651,Other roads and associated land
2,57,23.4455652028,37.9827038666,Other roads and associated land
3,17,23.4491255811,37.8726411806,Other roads and associated land
3,18,23.4491255811,37.8753927478,Other roads and associated land
3,19,23.4491255811,37.8781443149,Other roads and associated land
3,20,23.4491255811,37.8808958821,Other roads and associated land
3,24,23.4491255811,37.8919021507,Other roads and associated land
3,25,23.4491255811,37.8946537178,Agricultural + Semi-natural areas + Wetlands
3,26,23.4491255811,37.897405285,Agricultural + Semi-natural areas + Wetlands
3,27,23.4491255811,37.9001568521,Agricultural + Semi-natural areas + Wetlands
3,28,23.4491255811,37.9029084193,Agricultural + Semi-natural areas + Wetlands
3,30,23.4491255811,37.9084115536,Other roads and associated land
3,31,23.4491255811,37.9111631207,Other roads and associated land
3,32,23.4491255811,37.9139146879,Other roads and associated land
3,33,23.4491255811,37.916666255,Other roads and associated land
3,34,23.4491255811,37.9194178222,Other roads and associated land
3,35,23.4491255811,37.9221693893,Other roads and associated land
3,36,23.4491255811,37.9249209565,Other roads and associated land
3,46,23.4491255811,37.9524366279,Other roads and associated land
3,47,23.4491255811,37.9551881951,Other roads and associated land
3,49,23.4491255811,37.9606913294,Other roads and associated land
3,50,23.4491255811,37.9634428965,Other roads and associated land
3,51,23.4491255811,37.9661944637,Other roads and associated land
3,52,23.4491255811,37.9689460308,Other roads and associated land
3,54,23.4491255811,37.9744491651,Other roads and associated land
3,55,23.4491255811,37.9772007323,Other roads and associated land
3,56,23.4491255811,37.9799522994,Other roads and associated land
3,57,23.4491255811,37.9827038666,Other roads and associated land
4,19,23.4526859593,37.8781443149,Other roads and associated land
4,20,23.4526859593,37.8808958821,Other roads and associated land
4,23,23.4526859593,37.8891505835,Other roads and associated land
4,24,23.4526859593,37.8919021507,Other roads and associated land
4,25,23.4526859593,37.8946537178,Agricultural + Semi-natural areas + Wetlands
4,26,23.4526859593,37.897405285,Agricultural + Semi-natural areas + Wetlands
4,27,23.4526859593,37.9001568521,Agricultural + Semi-natural areas + Wetlands
4,28,23.4526859593,37.9029084193,Agricultural + Semi-natural areas + Wetlands
4,29,23.4526859593,37.9056599864,Agricultural + Semi-natural areas + Wetlands
4,30,23.4526859593,37.9084115536,Agricultural + Semi-natural areas + Wetlands
4,31,23.4526859593,37.9111631207,Other roads and associated land
4,32,23.4526859593,37.9139146879,Other roads and associated land
4,33,23.4526859593,37.916666255,Other roads and associated land
4,34,23.4526859593,37.9194178222,Other roads and associated land
4,35,23.4526859593,37.9221693893,Other roads and associated land
4,36,23.4526859593,37.9249209565,Other roads and associated land
4,45,23.4526859593,37.9496850608,Other roads and associated land
4,46,23.4526859593,37.9524366279,Other roads and associated land
4,47,23.4526859593,37.9551881951,Other roads and associated land
4,49,23.4526859593,37.9606913294,Other roads and associated land
4,50,23.4526859593,37.9634428965,Other roads and associated land
4,51,23.4526859593,37.9661944637,Agricultural + Semi-natural areas + Wetlands
4,52,23.4526859593,37.9689460308,Other roads and associated land
4,53,23.4526859593,37.971697598,Other roads and associated land
4,54,23.4526859593,37.9744491651,Other roads and associated land
4,55,23.4526859593,37.9772007323,Other roads and associated land
4,56,23.4526859593,37.9799522994,Other roads and associated land
5,19,23.4562463375,37.8781443149,Other roads and associated land
5,20,23.4562463375,37.8808958821,Other roads and associated land
5,21,23.4562463375,37.8836474492,Other roads and associated land
5,22,23.4562463375,37.8863990164,Other roads and associated land
5,23,23.4562463375,37.8891505835,Other roads and associated land
5,24,23.4562463375,37.8919021507,Agricultural + Semi-natural areas + Wetlands
5,25,23.4562463375,37.8946537178,Agricultural + Semi-natural areas + Wetlands
5,26,23.4562463375,37.897405285,Agricultural + Semi-natural areas + Wetlands
5,27,23.4562463375,37.9001568521,Agricultural + Semi-natural areas + Wetlands
5,28,23.4562463375,37.9029084193,Agricultural + Semi-natural areas + Wetlands
5,29,23.4562463375,37.9056599864,Agricultural + Semi-natural areas + Wetlands
5,30,23.4562463375,37.9084115536,Agricultural + Semi-natural areas + Wetlands
5,31,23.4562463375,37.9111631207,Agricultural + Semi-natural areas + Wetlands
5,32,23.4562463375,37.9139146879,Other roads and associated land
5,33,23.4562463375,37.916666255,Other roads and associated land
5,34,23.4562463375,37.9194178222,Other roads and associated land
5,35,23.4562463375,37.9221693893,Other roads and associated land
5,36,23.4562463375,37.9249209565,Other roads and associated land
5,46,23.4562463375,37.9524366279,Other roads and associated land
5,47,23.4562463375,37.9551881951,Other roads and associated land
5,49,23.4562463375,37.9606913294,Other roads and associated land
5,50,23.4562463375,37.9634428965,Other roads and associated land
5,51,23.4562463375,37.9661944637,Agricultural + Semi-natural areas + Wetlands
5,52,23.4562463375,37.9689460308,Agricultural + Semi-natural areas + Wetlands
5,53,23.4562463375,37.971697598,Other roads and associated land
5,54,23.4562463375,37.9744491651,Other roads and associated land
5,55,23.4562463375,37.9772007323,Other roads and associated land
6,19,23.4598067158,37.8781443149,Other roads and associated land
6,20,23.4598067158,37.8808958821,Other roads and associated land
6,21,23.4598067158,37.8836474492,Other roads and associated land
6,22,23.4598067158,37.8863990164,Other roads and associated land
6,23,23.4598067158,37.8891505835,Agricultural + Semi-natural areas + Wetlands
6,24,23.4598067158,37.8919021507,Agricultural + Semi-natural areas + Wetlands
6,25,23.4598067158,37.8946537178,Agricultural + Semi-natural areas + Wetlands
6,26,23.4598067158,37.897405285,Agricultural + Semi-natural areas + Wetlands
6,27,23.4598067158,37.9001568521,Agricultural + Semi-natural areas + Wetlands
6,28,23.4598067158,37.9029084193,Agricultural + Semi-natural areas + Wetlands
6,29,23.4598067158,37.9056599864,Agricultural + Semi-natural areas + Wetlands
6,30,23.4598067158,37.9084115536,Agricultural + Semi-natural areas + Wetlands
6,31,23.4598067158,37.9111631207,Agricultural + Semi-natural areas + Wetlands
6,32,23.4598067158,37.9139146879,Other roads and associated land
6,33,23.4598067158,37.916666255,Other roads and associated land
6,34,23.4598067158,37.9194178222,Other roads and associated land
6,35,23.4598067158,37.9221693893,Other roads and associated land
6,36,23.4598067158,37.9249209565,Other roads and associated land
6,46,23.4598067158,37.9524366279,Other roads and associated land
6,47,23.4598067158,37.9551881951,Other roads and associated land
6,50,23.4598067158,37.9634428965,Agricultural + Semi-natural areas + Wetlands
6,51,23.4598067158,37.9661944637,Agricultural + Semi-natural areas + Wetlands
6,52,23.4598067158,37.9689460308,Agricultural + Semi-natural areas + Wetlands
6,53,23.4598067158,37.971697598,Agricultural + Semi-natural areas + Wetlands
6,54,23.4598067158,37.9744491651,Agricultural + Semi-natural areas + Wetlands
6,55,23.4598067158,37.9772007323,Other roads and associated land
7,20,23.463367094,37.8808958821,Other roads and associated land
7,21,23.463367094,37.8836474492,Other roads and associated land
7,22,23.463367094,37.8863990164,Agricultural + Semi-natural areas + Wetlands
7,23,23.463367094,37.8891505835,Agricultural + Semi-natural areas + Wetlands
7,24,23.463367094,37.8919021507,Agricultural + Semi-natural areas + Wetlands
7,25,23.463367094,37.8946537178,Agricultural + Semi-natural areas + Wetlands
7,26,23.463367094,37.897405285,Agricultural + Semi-natural areas + Wetlands
7,27,23.463367094,37.9001568521,Agricultural + Semi-natural areas + Wetlands
7,28,23.463367094,37.9029084193,Agricultural + Semi-natural areas + Wetlands
7,29,23.463367094,37.9056599864,Agricultural + Semi-natural areas + Wetlands
7,30,23.463367094,37.9084115536,Agricultural + Semi-natural areas + Wetlands
7,31,23.463367094,37.9111631207,Agricultural + Semi-natural areas + Wetlands
7,32,23.463367094,37.9139146879,Other roads and associated land
7,33,23.463367094,37.916666255,Other roads and associated land
7,34,23.463367094,37.9194178222,Other roads and associated land
7,35,23.463367094,37.9221693893,Other roads and associated land
7,36,23.463367094,37.9249209565,Water bodies
7,46,23.463367094,37.9524366279,Other roads and associated land
7,47,23.463367094,37.9551881951,Other roads and associated land
7,48,23.463367094,37.9579397622,Other roads and associated land
7,49,23.463367094,37.9606913294,Other roads and associated land
7,50,23.463367094,37.9634428965,Agricultural + Semi-natural areas + Wetlands
7,51,23.463367094,37.9661944637,Agricultural + Semi-natural areas + Wetlands
7,52,23.463367094,37.9689460308,Agricultural + Semi-natural areas + Wetlands
7,53,23.463367094,37.971697598,Agricultural + Semi-natural areas + Wetlands
7,54,23.463367094,37.9744491651,Agricultural + Semi-natural areas + Wetlands
7,55,23.463367094,37.9772007323,Other roads and associated land
7,56,23.463367094,37.9799522994,Other roads and associated land
8,20,23.4669274723,37.8808958821,Other roads and associated land
8,21,23.4669274723,37.8836474492,Other roads and associated land
8,22,23.4669274723,37.8863990164,Other roads and associated land
8,23,23.4669274723,37.8891505835,Agricultural + Semi-natural areas + Wetlands
8,24,23.4669274723,37.8919021507,Agricultural + Semi-natural areas + Wetlands
8,25,23.4669274723,37.8946537178,Agricultural + Semi-natural areas + Wetlands
8,26,23.4669274723,37.897405285,Agricultural + Semi-natural areas + Wetlands
8,27,23.4669274723,37.9001568521,Agricultural + Semi-natural areas + Wetlands
8,28,23.4669274723,37.9029084193,Agricultural + Semi-natural areas + Wetlands
8,29,23.4669274723,37.9056599864,Agricultural + Semi-natural areas + Wetlands
8,30,23.4669274723,37.9084115536,Agricultural + Semi-natural areas + Wetlands
8,31,23.4669274723,37.9111631207,Agricultural + Semi-natural areas + Wetlands
8,32,23.4669274723,37.9139146879,Agricultural + Semi-natural areas + Wetlands
8,33,23.4669274723,37.916666255,Agricultural + Semi-natural areas + Wetlands
8,34,23.4669274723,37.9194178222,Agricultural + Semi-natural areas + Wetlands
8,35,23.4669274723,37.9221693893,Other roads and associated land
8,36,23.4669274723,37.9249209565,Water bodies
8,46,23.4669274723,37.9524366279,Other roads and associated land
8,47,23.4669274723,37.9551881951,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
8,48,23.4669274723,37.9579397622,Discontinuous Medium Density Urban Fabric (S.L. : 30% - 50%)
8,49,23.4669274723,37.9606913294,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
8,50,23.4669274723,37.9634428965,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
8,51,23.4669274723,37.9661944637,Agricultural + Semi-natural areas + Wetlands
8,52,23.4669274723,37.9689460308,Agricultural + Semi-natural areas + Wetlands
8,53,23.4669274723,37.971697598,Agricultural + Semi-natural areas + Wetlands
8,54,23.4669274723,37.9744491651,Agricultural + Semi-natural areas + Wetlands
8,55,23.4669274723,37.9772007323,Other roads and associated land
8,56,23.4669274723,37.9799522994,Agricultural + Semi-natural areas + Wetlands
8,61,23.4669274723,37.9937101352,Agricultural + Semi-natural areas + Wetlands
8,62,23.4669274723,37.9964617023,Water bodies
9,22,23.4704878505,37.8863990164,Agricultural + Semi-natural areas + Wetlands
9,23,23.4704878505,37.8891505835,Agricultural + Semi-natural areas + Wetlands
9,24,23.4704878505,37.8919021507,Agricultural + Semi-natural areas + Wetlands
9,25,23.4704878505,37.8946537178,Agricultural + Semi-natural areas + Wetlands
9,26,23.4704878505,37.897405285,Agricultural + Semi-natural areas + Wetlands
9,27,23.4704878505,37.9001568521,Agricultural + Semi-natural areas + Wetlands
9,28,23.4704878505,37.9029084193,Agricultural + Semi-natural areas + Wetlands
9,29,23.4704878505,37.9056599864,Agricultural + Semi-natural areas + Wetlands
9,30,23.4704878505,37.9084115536,Agricultural + Semi-natural areas + Wetlands
9,31,23.4704878505,37.9111631207,Agricultural + Semi-natural areas + Wetlands
9,32,23.4704878505,37.9139146879,Agricultural + Semi-natural areas + Wetlands
9,33,23.4704878505,37.916666255,Agricultural + Semi-natural areas + Wetlands
9,34,23.4704878505,37.9194178222,Agricultural + Semi-natural areas + Wetlands
9,35,23.4704878505,37.9221693893,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
9,36,23.4704878505,37.9249209565,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
9,37,23.4704878505,37.9276725236,Water bodies
9,47,23.4704878505,37.9551881951,Agricultural + Semi-natural areas + Wetlands
9,48,23.4704878505,37.9579397622,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
9,49,23.4704878505,37.9606913294,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
9,50,23.4704878505,37.9634428965,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
9,51,23.4704878505,37.9661944637,Agricultural + Semi-natural areas + Wetlands
9,52,23.4704878505,37.9689460308,Agricultural + Semi-natural areas + Wetlands
9,53,23.4704878505,37.971697598,Agricultural + Semi-natural areas + Wetlands
9,54,23.4704878505,37.9744491651,Agricultural + Semi-natural areas + Wetlands
9,55,23.4704878505,37.9772007323,Discontinuous Medium Density Urban Fabric (S.L. : 30% - 50%)
9,56,23.4704878505,37.9799522994,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
9,61,23.4704878505,37.9937101352,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
9,62,23.4704878505,37.9964617023,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,22,23.4740482288,37.8863990164,Agricultural + Semi-natural areas + Wetlands
10,23,23.4740482288,37.8891505835,Agricultural + Semi-natural areas + Wetlands
10,24,23.4740482288,37.8919021507,Forests
10,25,23.4740482288,37.8946537178,Agricultural + Semi-natural areas + Wetlands
10,26,23.4740482288,37.897405285,Agricultural + Semi-natural areas + Wetlands
10,27,23.4740482288,37.9001568521,Agricultural + Semi-natural areas + Wetlands
10,28,23.4740482288,37.9029084193,Agricultural + Semi-natural areas + Wetlands
10,29,23.4740482288,37.9056599864,Agricultural + Semi-natural areas + Wetlands
10,30,23.4740482288,37.9084115536,Agricultural + Semi-natural areas + Wetlands
10,31,23.4740482288,37.9111631207,Agricultural + Semi-natural areas + Wetlands
10,32,23.4740482288,37.9139146879,Agricultural + Semi-natural areas + Wetlands
10,33,23.4740482288,37.916666255,Agricultural + Semi-natural areas + Wetlands
10,34,23.4740482288,37.9194178222,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,35,23.4740482288,37.9221693893,Agricultural + Semi-natural areas + Wetlands
10,36,23.4740482288,37.9249209565,Agricultural + Semi-natural areas + Wetlands
10,37,23.4740482288,37.9276725236,Discontinuous Medium Density Urban Fabric (S.L. : 30% - 50%)
10,38,23.4740482288,37.9304240908,Water bodies
10,39,23.4740482288,37.9331756579,Water bodies
10,48,23.4740482288,37.9579397622,Other roads and associated land
10,49,23.4740482288,37.9606913294,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,50,23.4740482288,37.9634428965,Agricultural + Semi-natural areas + Wetlands
10,51,23.4740482288,37.9661944637,Agricultural + Semi-natural areas + Wetlands
10,52,23.4740482288,37.9689460308,Agricultural + Semi-natural areas + Wetlands
10,53,23.4740482288,37.971697598,Agricultural + Semi-natural areas + Wetlands
10,54,23.4740482288,37.9744491651,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,55,23.4740482288,37.9772007323,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,56,23.4740482288,37.9799522994,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,57,23.4740482288,37.9827038666,Water bodies
10,59,23.4740482288,37.9882070009,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,60,23.4740482288,37.990958568,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,61,23.4740482288,37.9937101352,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%)
10,62,23.4740482288,37.9964617023,Water bodies
11,22,23.477608607,37.8863990164,Agricultural + Semi-natural areas + Wetlands
11,23,23.477608607,37.8891505835,Agricultural + Semi-natural areas + Wetlands
11,24,23.477608607,37.8919021507,Agricultural + Semi-natural areas + Wetlands
11,25,23.477608607,37.8946537178,Agricultural + Semi-natural areas + Wetlands
11,26,23.477608607,37.897405285,Agricultural + Semi-natural areas + Wetlands
11,27,23.477608607,37.9001568521,Agricultural + Semi-natural areas + Wetlands
11,28,23.477608607,37.9029084193,Agricultural + Semi-natural areas + Wetlands
11,29,23.477608607,37.9056599864,Agricultural + Semi-natural areas + Wetlands
11,30,23.477608607,37.9084115536,Agricultural + Semi-natural areas + Wetlands
11,31,23.477608607,37.9111631207,Agricultural + Semi-natural areas + Wetlands
11,32,23.477608607,37.9139146879,Agricultural + Semi-natural areas + Wetlands
11,33,23.477608607,37.916666255,Agricultural + Semi-natural areas + Wetlands
11,34,23.477608607,37.9194178222,Agricultural + Semi-natural areas + Wetlands
