grid-i,grid-j,lon,lat,class
0,7,1.80935830763,41.2869899512,Other roads and associated land
0,8,1.80935830763,41.2916369214,Other roads and associated land
0,9,1.80935830763,41.2962838916,Other roads and associated land
0,10,1.80935830763,41.3009308618,Other roads and associated land
0,11,1.80935830763,41.305577832,Other roads and associated land
0,12,1.80935830763,41.3102248022,Other roads and associated land
0,13,1.80935830763,41.3148717724,Other roads and associated land
0,14,1.80935830763,41.3195187425,Other roads and associated land
1,6,1.81758347419,41.282342981,Other roads and associated land
1,7,1.81758347419,41.2869899512,Other roads and associated land
1,8,1.81758347419,41.2916369214,Other roads and associated land
1,9,1.81758347419,41.2962838916,Other roads and associated land
1,10,1.81758347419,41.3009308618,Other roads and associated land
1,11,1.81758347419,41.305577832,Other roads and associated land
1,12,1.81758347419,41.3102248022,Other roads and associated land
1,13,1.81758347419,41.3148717724,Other roads and associated land
2,6,1.82580864076,41.282342981,Other roads and associated land
2,7,1.82580864076,41.2869899512,Other roads and associated land
2,8,1.82580864076,41.2916369214,Other roads and associated land
2,9,1.82580864076,41.2962838916,Other roads and associated land
2,10,1.82580864076,41.3009308618,Other roads and associated land
2,11,1.82580864076,41.305577832,Other roads and associated land
2,12,1.82580864076,41.3102248022,Other roads and associated land
2,13,1.82580864076,41.3148717724,Other roads and associated land
2,61,1.82580864076,41.5379263414,Other roads and associated land
3,4,1.83403380733,41.2730490406,Agricultural + Semi-natural areas + Wetlands
3,5,1.83403380733,41.2776960108,Agricultural + Semi-natural areas + Wetlands
3,6,1.83403380733,41.282342981,Agricultural + Semi-natural areas + Wetlands
3,7,1.83403380733,41.2869899512,Other roads and associated land
3,8,1.83403380733,41.2916369214,Other roads and associated land
3,9,1.83403380733,41.2962838916,Other roads and associated land
3,11,1.83403380733,41.305577832,Other roads and associated land
3,12,1.83403380733,41.3102248022,Other roads and associated land
3,13,1.83403380733,41.3148717724,Other roads and associated land
3,14,1.83403380733,41.3195187425,Other roads and associated land
3,59,1.83403380733,41.5286324011,Other roads and associated land
3,60,1.83403380733,41.5332793712,Other roads and associated land
3,61,1.83403380733,41.5379263414,Other roads and associated land
3,62,1.83403380733,41.5425733116,Other roads and associated land
4,3,1.84225897389,41.2684020705,Agricultural + Semi-natural areas + Wetlands
4,4,1.84225897389,41.2730490406,Agricultural + Semi-natural areas + Wetlands
4,5,1.84225897389,41.2776960108,Agricultural + Semi-natural areas + Wetlands
4,6,1.84225897389,41.282342981,Agricultural + Semi-natural areas + Wetlands
