lon,lat
12.5419241229,52.5812952206
12.5362300486,52.583003919
12.6700573347,52.4548977311
12.7180594098,52.4650122163
12.7868854844,52.5036119182
13.3576972819,52.3038752605
13.3108736269,52.2822944075
13.6854052045,52.7307567292
13.7581701716,52.727952244
13.4530301371,52.833502327
12.3935039503,52.3127948625
12.374912237,52.3175636154
12.2876107599,52.291211745
12.3060684979,52.3159471272
13.0198073517,52.1038221595
13.0029301088,52.1160168543
12.5259429972,52.6808850882
12.4801781952,52.7100584037
12.8396876014,52.58629316
12.9077766269,52.1543457668
12.9016131029,52.1791783884
14.4036535654,52.6034219733
12.9235731187,51.9507555925
12.6529937263,52.7620108883
13.3134181501,51.8382919617
13.815556415,52.7597954284
12.6955281424,52.65602097
14.3548251728,52.4413374832
13.220145187,53.0197094533
12.9000912254,51.9496352926
13.7863518065,51.8945503211
13.9302038164,52.0757897247
13.3902382582,52.0813853145
12.7293050744,52.4733722109
12.7483999888,52.5174261956
12.7683004074,52.5169609225
13.114654224,52.6361293273
14.2596640743,52.4926723691
13.7463021406,51.7973760444
12.611692168,52.7137767079
12.3790431369,52.7960829208
13.4244332509,52.9525513009
12.2531606689,52.7728289577
12.8380976867,52.6596042887
13.0198571208,52.759635774
12.5118099111,52.6577784116
12.5433855228,52.6237669842
14.1319148773,52.4882595251
13.6788574142,52.5976330947
12.8024530141,52.5580381126
12.8437830378,52.5540409464
12.8189120736,52.5610601383
13.187003519,51.9630653993
13.1347457212,52.9554921263
12.8561787938,52.4427872164
13.3735050256,51.9490320548
12.520581068,52.266785028
12.5030996653,52.3067154532
12.4944378358,52.2971060807
12.4792000738,52.2813468455
14.3151827005,52.7548161452
13.6375362911,51.9719143171
14.3184340864,52.6302279416
12.4813953749,52.7565508371
12.4511515636,52.737792828
12.5453616141,52.7470847299
13.0697861262,52.7918515429
13.6514079886,51.8644949476
13.7228614813,51.8850406404
12.631397084,52.5232672868
12.6064683203,52.5035907878
12.5986302465,52.5182905882
12.6220556847,52.473892611
12.6448416016,52.4696529525
13.0621368979,52.2262538021
13.2633315647,52.1688831047
13.8317310225,51.8355879629
12.9526955879,52.1498495001
14.348116609,52.5065679268
12.9515580376,52.1190728237
12.8455550125,52.1289945964
13.1002553046,51.9190926898
13.9609316299,52.5346083701
12.881983752,52.7103854228
14.4630803546,52.5740323698
14.2543302461,52.7544725973
14.3764018103,52.7081482921
14.1760877776,52.8185577318
14.1585496054,52.802306689
14.2934576206,52.7659645437
14.2529056762,52.7550787359
14.3972102066,52.705149994
14.1528066844,52.5202365171
12.2887242036,52.6974899756
14.5144363344,52.4848331991
13.1408231337,52.668265318
13.5283566108,51.9142123512
14.3280614921,52.553571013
12.9197786194,52.008013612
13.1524571164,51.9193191202
14.2352554514,52.7397287585
12.7216535188,52.6918234277
14.0762381933,52.8530589592
14.2999299322,52.6073491539
13.9271831331,52.582732641
12.5648848343,52.6471926707
13.3642111104,51.9811352283
14.1001008933,52.6244607714
14.537052649,52.4519740426
12.9382695539,51.9679750993
13.2782945191,52.2296188389
13.4295744158,52.1711627126
14.2458652388,52.0480231052
13.8257661276,51.9209910756
12.70744995,52.6359157818
12.4696429056,52.5497929058
14.3702430858,52.4628773384
13.2900557869,51.9283317037
13.6307726996,51.8918746302
13.429351857,52.8623462281
13.0750335458,52.6231735691
13.3226653789,51.9218108366
13.307008456,52.2569986107
12.2512022629,52.7471916501
12.2396470373,52.7620836903
14.1797301563,52.703438402
13.2331434693,51.9198839472
14.4709865212,52.6388102046
12.5847204404,52.6029940276
12.6034550035,52.6026713415
14.1465889596,52.7531332006
13.9568849655,52.7628446013
13.7242699926,51.7792580935
13.0212746407,51.9579589848
12.7905679263,52.6839037117
12.736707604,52.6782246397
14.0367038733,52.6321878867
13.224765058,52.974104238
13.2516849704,52.964505868
14.4750046278,52.475244337
14.1755703822,52.6826937702
12.6897450495,52.3793596362
12.6575068106,52.4059495055
12.7890651275,52.6025290479
12.7026494054,52.6211446233
12.6925611207,52.6165484538
