grid-i,grid-j,lon,lat,class
0,20,12.9685901073,52.3024564256,Fast transit roads and associated land
0,59,12.9685901073,52.5483645484,Railways and associated land
0,60,12.9685901073,52.5546698849,Railways and associated land
1,20,12.9799043278,52.3024564256,Fast transit roads and associated land
1,58,12.9799043278,52.5420592119,Railways and associated land
1,59,12.9799043278,52.5483645484,Railways and associated land
1,60,12.9799043278,52.5546698849,Railways and associated land
1,61,12.9799043278,52.5609752213,Railways and associated land
2,20,12.9912185482,52.3024564256,Fast transit roads and associated land
2,59,12.9912185482,52.5483645484,Railways and associated land
2,61,12.9912185482,52.5609752213,Railways and associated land
2,62,12.9912185482,52.5672805578,Railways and associated land
3,20,13.0025327687,52.3024564256,Fast transit roads and associated land
3,57,13.0025327687,52.5357538754,Fast transit roads and associated land
3,58,13.0025327687,52.5420592119,Railways and associated land
3,59,13.0025327687,52.5483645484,Railways and associated land
3,62,13.0025327687,52.5672805578,Railways and associated land
3,63,13.0025327687,52.5735858943,Railways and associated land
4,20,13.0138469892,52.3024564256,Fast transit roads and associated land
4,57,13.0138469892,52.5357538754,Fast transit roads and associated land
4,58,13.0138469892,52.5420592119,Railways and associated land
4,59,13.0138469892,52.5483645484,Railways and associated land
4,63,13.0138469892,52.5735858943,Railways and associated land
4,64,13.0138469892,52.5798912308,Railways and associated land
4,70,13.0138469892,52.6177232497,Agricultural + Semi-natural areas + Wetlands
4,78,13.0138469892,52.6681659415,Forests
4,79,13.0138469892,52.674471278,Forests
5,19,13.0251612097,52.2961510891,Fast transit roads and associated land
5,20,13.0251612097,52.3024564256,Fast transit roads and associated land
5,57,13.0251612097,52.5357538754,Fast transit roads and associated land
5,58,13.0251612097,52.5420592119,Railways and associated land
5,59,13.0251612097,52.5483645484,Railways and associated land
5,60,13.0251612097,52.5546698849,Other roads and associated land
5,61,13.0251612097,52.5609752213,Other roads and associated land
5,62,13.0251612097,52.5672805578,Other roads and associated land
5,63,13.0251612097,52.5735858943,Railways and associated land
5,64,13.0251612097,52.5798912308,Railways and associated land
5,65,13.0251612097,52.5861965673,Railways and associated land
5,69,13.0251612097,52.6114179132,Agricultural + Semi-natural areas + Wetlands
5,70,13.0251612097,52.6177232497,Agricultural + Semi-natural areas + Wetlands
5,72,13.0251612097,52.6303339226,Other roads and associated land
5,73,13.0251612097,52.6366392591,Other roads and associated land
5,74,13.0251612097,52.6429445956,Other roads and associated land
5,75,13.0251612097,52.6492499321,Other roads and associated land
5,78,13.0251612097,52.6681659415,Forests
5,79,13.0251612097,52.674471278,Forests
5,80,13.0251612097,52.6807766145,Forests
5,81,13.0251612097,52.687081951,Forests
5,82,13.0251612097,52.6933872874,Forests
5,83,13.0251612097,52.6996926239,Other roads and associated land
5,87,13.0251612097,52.7249139698,Other roads and associated land
5,88,13.0251612097,52.7312193063,Other roads and associated land
5,90,13.0251612097,52.7438299793,Other roads and associated land
5,91,13.0251612097,52.7501353158,Other roads and associated land
6,19,13.0364754302,52.2961510891,Fast transit roads and associated land
6,20,13.0364754302,52.3024564256,Fast transit roads and associated land
6,22,13.0364754302,52.3150670986,Other roads and associated land
6,24,13.0364754302,52.3276777716,Other roads and associated land
6,28,13.0364754302,52.3528991175,Other roads and associated land
6,29,13.0364754302,52.359204454,Other roads and associated land
6,30,13.0364754302,52.3655097904,Other roads and associated land
6,32,13.0364754302,52.3781204634,Other roads and associated land
6,33,13.0364754302,52.3844257999,Other roads and associated land
6,35,13.0364754302,52.3970364728,Other roads and associated land
6,36,13.0364754302,52.4033418093,Other roads and associated land
6,37,13.0364754302,52.4096471458,Other roads and associated land
6,38,13.0364754302,52.4159524823,Other roads and associated land
6,39,13.0364754302,52.4222578188,Other roads and associated land
6,40,13.0364754302,52.4285631552,Other roads and associated land
6,41,13.0364754302,52.4348684917,Other roads and associated land
6,42,13.0364754302,52.4411738282,Other roads and associated land
6,43,13.0364754302,52.4474791647,Other roads and associated land
6,44,13.0364754302,52.4537845012,Other roads and associated land
6,45,13.0364754302,52.4600898377,Other roads and associated land
6,46,13.0364754302,52.4663951741,Other roads and associated land
6,52,13.0364754302,52.504227193,Other roads and associated land
6,53,13.0364754302,52.5105325295,Other roads and associated land
6,54,13.0364754302,52.516837866,Other roads and associated land
6,55,13.0364754302,52.5231432025,Other roads and associated land
6,57,13.0364754302,52.5357538754,Fast transit roads and associated land
6,58,13.0364754302,52.5420592119,Other roads and associated land
6,59,13.0364754302,52.5483645484,Railways and associated land
6,60,13.0364754302,52.5546698849,Other roads and associated land
6,61,13.0364754302,52.5609752213,Other roads and associated land
6,62,13.0364754302,52.5672805578,Other roads and associated land
6,63,13.0364754302,52.5735858943,Railways and associated land
6,64,13.0364754302,52.5798912308,Other roads and associated land
6,65,13.0364754302,52.5861965673,Railways and associated land
6,66,13.0364754302,52.5925019037,Railways and associated land
6,69,13.0364754302,52.6114179132,Agricultural + Semi-natural areas + Wetlands
6,70,13.0364754302,52.6177232497,Agricultural + Semi-natural areas + Wetlands
6,71,13.0364754302,52.6240285862,Agricultural + Semi-natural areas + Wetlands
6,72,13.0364754302,52.6303339226,Agricultural + Semi-natural areas + Wetlands
6,73,13.0364754302,52.6366392591,Other roads and associated land
6,74,13.0364754302,52.6429445956,Forests
6,75,13.0364754302,52.6492499321,Forests
6,76,13.0364754302,52.6555552686,Forests
6,77,13.0364754302,52.661860605,Forests
6,78,13.0364754302,52.6681659415,Forests
6,79,13.0364754302,52.674471278,Forests
6,80,13.0364754302,52.6807766145,Forests
6,81,13.0364754302,52.687081951,Forests
6,82,13.0364754302,52.6933872874,Forests
6,83,13.0364754302,52.6996926239,Forests
6,84,13.0364754302,52.7059979604,Other roads and associated land
6,85,13.0364754302,52.7123032969,Other roads and associated land
6,86,13.0364754302,52.7186086334,Other roads and associated land
6,87,13.0364754302,52.7249139698,Other roads and associated land
6,88,13.0364754302,52.7312193063,Other roads and associated land
6,90,13.0364754302,52.7438299793,Other roads and associated land
6,91,13.0364754302,52.7501353158,Other roads and associated land
6,92,13.0364754302,52.7564406523,Other roads and associated land
7,15,13.0477896507,52.2709297432,Other roads and associated land
7,17,13.0477896507,52.2835404162,Other roads and associated land
7,18,13.0477896507,52.2898457527,Other roads and associated land
7,19,13.0477896507,52.2961510891,Other roads and associated land
7,20,13.0477896507,52.3024564256,Fast transit roads and associated land
7,21,13.0477896507,52.3087617621,Other roads and associated land
7,22,13.0477896507,52.3150670986,Other roads and associated land
7,23,13.0477896507,52.3213724351,Other roads and associated land
7,24,13.0477896507,52.3276777716,Railways and associated land
7,28,13.0477896507,52.3528991175,Forests
7,29,13.0477896507,52.359204454,Forests
7,30,13.0477896507,52.3655097904,Forests
7,31,13.0477896507,52.3718151269,Forests
7,32,13.0477896507,52.3781204634,Other roads and associated land
7,33,13.0477896507,52.3844257999,Other roads and associated land
7,34,13.0477896507,52.3907311364,Other roads and associated land
7,35,13.0477896507,52.3970364728,Other roads and associated land
7,36,13.0477896507,52.4033418093,Other roads and associated land
7,37,13.0477896507,52.4096471458,Other roads and associated land
7,38,13.0477896507,52.4159524823,Other roads and associated land
7,39,13.0477896507,52.4222578188,Other roads and associated land
7,40,13.0477896507,52.4285631552,Other roads and associated land
7,41,13.0477896507,52.4348684917,Other roads and associated land
7,42,13.0477896507,52.4411738282,Water bodies
7,43,13.0477896507,52.4474791647,Other roads and associated land
7,44,13.0477896507,52.4537845012,Water bodies
7,45,13.0477896507,52.4600898377,Other roads and associated land
7,46,13.0477896507,52.4663951741,Other roads and associated land
7,52,13.0477896507,52.504227193,Other roads and associated land
7,53,13.0477896507,52.5105325295,Other roads and associated land
7,54,13.0477896507,52.516837866,Other roads and associated land
7,55,13.0477896507,52.5231432025,Other roads and associated land
7,57,13.0477896507,52.5357538754,Fast transit roads and associated land
7,58,13.0477896507,52.5420592119,Other roads and associated land
7,59,13.0477896507,52.5483645484,Other roads and associated land
7,60,13.0477896507,52.5546698849,Other roads and associated land
7,61,13.0477896507,52.5609752213,Other roads and associated land
7,62,13.0477896507,52.5672805578,Other roads and associated land
7,63,13.0477896507,52.5735858943,Other roads and associated land
7,64,13.0477896507,52.5798912308,Other roads and associated land
7,65,13.0477896507,52.5861965673,Other roads and associated land
7,66,13.0477896507,52.5925019037,Railways and associated land
7,67,13.0477896507,52.5988072402,Agricultural + Semi-natural areas + Wetlands
7,69,13.0477896507,52.6114179132,Agricultural + Semi-natural areas + Wetlands
7,70,13.0477896507,52.6177232497,Agricultural + Semi-natural areas + Wetlands
7,71,13.0477896507,52.6240285862,Agricultural + Semi-natural areas + Wetlands
7,72,13.0477896507,52.6303339226,Agricultural + Semi-natural areas + Wetlands
7,73,13.0477896507,52.6366392591,Agricultural + Semi-natural areas + Wetlands
7,74,13.0477896507,52.6429445956,Forests
7,75,13.0477896507,52.6492499321,Forests
7,76,13.0477896507,52.6555552686,Forests
7,77,13.0477896507,52.661860605,Forests
7,78,13.0477896507,52.6681659415,Forests
7,79,13.0477896507,52.674471278,Forests
7,80,13.0477896507,52.6807766145,Forests
7,81,13.0477896507,52.687081951,Forests
7,82,13.0477896507,52.6933872874,Forests
7,83,13.0477896507,52.6996926239,Forests
7,84,13.0477896507,52.7059979604,Agricultural + Semi-natural areas + Wetlands
7,85,13.0477896507,52.7123032969,Other roads and associated land
7,86,13.0477896507,52.7186086334,Other roads and associated land
7,88,13.0477896507,52.7312193063,Other roads and associated land
7,90,13.0477896507,52.7438299793,Other roads and associated land
7,91,13.0477896507,52.7501353158,Other roads and associated land
8,14,13.0591038712,52.2646244067,Agricultural + Semi-natural areas + Wetlands
8,15,13.0591038712,52.2709297432,Agricultural + Semi-natural areas + Wetlands
8,16,13.0591038712,52.2772350797,Other roads and associated land
8,17,13.0591038712,52.2835404162,Other roads and associated land
8,18,13.0591038712,52.2898457527,Other roads and associated land
8,19,13.0591038712,52.2961510891,Other roads and associated land
8,20,13.0591038712,52.3024564256,Fast transit roads and associated land
8,21,13.0591038712,52.3087617621,Agricultural + Semi-natural areas + Wetlands
8,22,13.0591038712,52.3150670986,Agricultural + Semi-natural areas + Wetlands
8,23,13.0591038712,52.3213724351,Agricultural + Semi-natural areas + Wetlands
8,24,13.0591038712,52.3276777716,Other roads and associated land
8,25,13.0591038712,52.333983108,Railways and associated land
8,27,13.0591038712,52.346593781,Forests
8,28,13.0591038712,52.3528991175,Forests
8,29,13.0591038712,52.359204454,Forests
8,30,13.0591038712,52.3655097904,Forests
8,31,13.0591038712,52.3718151269,Forests
8,32,13.0591038712,52.3781204634,Forests
8,33,13.0591038712,52.3844257999,Forests
8,34,13.0591038712,52.3907311364,Other roads and associated land
8,35,13.0591038712,52.3970364728,Other roads and associated land
8,36,13.0591038712,52.4033418093,Other roads and associated land
8,37,13.0591038712,52.4096471458,Other roads and associated land
8,38,13.0591038712,52.4159524823,Other roads and associated land
8,39,13.0591038712,52.4222578188,Other roads and associated land
8,40,13.0591038712,52.4285631552,Other roads and associated land
8,41,13.0591038712,52.4348684917,Water bodies
8,42,13.0591038712,52.4411738282,Forests
8,43,13.0591038712,52.4474791647,Water bodies
8,44,13.0591038712,52.4537845012,Water bodies
8,45,13.0591038712,52.4600898377,Forests
8,46,13.0591038712,52.4663951741,Other roads and associated land
8,48,13.0591038712,52.4790058471,Forests
8,49,13.0591038712,52.4853111836,Forests
8,50,13.0591038712,52.4916165201,Forests
8,51,13.0591038712,52.4979218565,Forests
8,52,13.0591038712,52.504227193,Forests
8,53,13.0591038712,52.5105325295,Forests
8,54,13.0591038712,52.516837866,Other roads and associated land
8,55,13.0591038712,52.5231432025,Other roads and associated land
8,57,13.0591038712,52.5357538754,Other roads and associated land
8,58,13.0591038712,52.5420592119,Other roads and associated land
8,59,13.0591038712,52.5483645484,Other roads and associated land
8,60,13.0591038712,52.5546698849,Other roads and associated land
8,61,13.0591038712,52.5609752213,Other roads and associated land
8,62,13.0591038712,52.5672805578,Railways and associated land
8,63,13.0591038712,52.5735858943,Other roads and associated land
8,64,13.0591038712,52.5798912308,Other roads and associated land
8,65,13.0591038712,52.5861965673,Other roads and associated land
8,66,13.0591038712,52.5925019037,Agricultural + Semi-natural areas + Wetlands
8,67,13.0591038712,52.5988072402,Agricultural + Semi-natural areas + Wetlands
