grid-i,grid-j,lon,lat,class
0,50,18.6977606086,47.5265565441,Agricultural + Semi-natural areas + Wetlands
0,51,18.6977606086,47.5324586482,Agricultural + Semi-natural areas + Wetlands
0,52,18.6977606086,47.5383607523,Agricultural + Semi-natural areas + Wetlands
0,53,18.6977606086,47.5442628564,Other roads and associated land
0,54,18.6977606086,47.5501649605,Other roads and associated land
0,55,18.6977606086,47.5560670646,Other roads and associated land
1,48,18.7054374989,47.5147523359,Agricultural + Semi-natural areas + Wetlands
1,49,18.7054374989,47.52065444,Agricultural + Semi-natural areas + Wetlands
1,50,18.7054374989,47.5265565441,Agricultural + Semi-natural areas + Wetlands
1,51,18.7054374989,47.5324586482,Agricultural + Semi-natural areas + Wetlands
1,52,18.7054374989,47.5383607523,Agricultural + Semi-natural areas + Wetlands
1,53,18.7054374989,47.5442628564,Other roads and associated land
1,54,18.7054374989,47.5501649605,Other roads and associated land
1,55,18.7054374989,47.5560670646,Other roads and associated land
2,47,18.7131143893,47.5088502319,Agricultural + Semi-natural areas + Wetlands
2,48,18.7131143893,47.5147523359,Agricultural + Semi-natural areas + Wetlands
2,49,18.7131143893,47.52065444,Agricultural + Semi-natural areas + Wetlands
2,50,18.7131143893,47.5265565441,Agricultural + Semi-natural areas + Wetlands
2,51,18.7131143893,47.5324586482,Agricultural + Semi-natural areas + Wetlands
2,52,18.7131143893,47.5383607523,Agricultural + Semi-natural areas + Wetlands
2,53,18.7131143893,47.5442628564,Other roads and associated land
2,54,18.7131143893,47.5501649605,Other roads and associated land
2,55,18.7131143893,47.5560670646,Other roads and associated land
3,45,18.7207912797,47.4970460237,Agricultural + Semi-natural areas + Wetlands
3,46,18.7207912797,47.5029481278,Agricultural + Semi-natural areas + Wetlands
3,47,18.7207912797,47.5088502319,Agricultural + Semi-natural areas + Wetlands
3,48,18.7207912797,47.5147523359,Agricultural + Semi-natural areas + Wetlands
3,49,18.7207912797,47.52065444,Agricultural + Semi-natural areas + Wetlands
