grid-i,grid-j,lon,lat,class
0,16,-4.10861939691,40.3739333856,Other roads and associated land
0,39,-4.10861939691,40.4626058835,Other roads and associated land
0,40,-4.10861939691,40.4664612095,Other roads and associated land
0,44,-4.10861939691,40.4818825135,Other roads and associated land
0,46,-4.10861939691,40.4895931655,Other roads and associated land
0,51,-4.10861939691,40.5088697954,Other roads and associated land
0,57,-4.10861939691,40.5320017514,Other roads and associated land
0,58,-4.10861939691,40.5358570774,Other roads and associated land
0,59,-4.10861939691,40.5397124034,Other roads and associated land
0,60,-4.10861939691,40.5435677294,Other roads and associated land
0,69,-4.10861939691,40.5782656633,Other roads and associated land
0,70,-4.10861939691,40.5821209893,Other roads and associated land
0,78,-4.10861939691,40.6129635973,Other roads and associated land
0,79,-4.10861939691,40.6168189233,Other roads and associated land
0,81,-4.10861939691,40.6245295753,Other roads and associated land
0,82,-4.10861939691,40.6283849013,Other roads and associated land
0,83,-4.10861939691,40.6322402273,Other roads and associated land
0,84,-4.10861939691,40.6360955533,Other roads and associated land
0,88,-4.10861939691,40.6515168572,Other roads and associated land
0,89,-4.10861939691,40.6553721832,Other roads and associated land
0,90,-4.10861939691,40.6592275092,Other roads and associated land
0,91,-4.10861939691,40.6630828352,Other roads and associated land
0,92,-4.10861939691,40.6669381612,Other roads and associated land
0,93,-4.10861939691,40.6707934872,Other roads and associated land
0,94,-4.10861939691,40.6746488132,Other roads and associated land
0,95,-4.10861939691,40.6785041392,Other roads and associated land
0,96,-4.10861939691,40.6823594652,Other roads and associated land
0,97,-4.10861939691,40.6862147912,Other roads and associated land
0,98,-4.10861939691,40.6900701172,Other roads and associated land
1,6,-4.10341901082,40.3353801257,Other roads and associated land
1,8,-4.10341901082,40.3430907777,Other roads and associated land
1,9,-4.10341901082,40.3469461037,Other roads and associated land
1,10,-4.10341901082,40.3508014297,Other roads and associated land
1,11,-4.10341901082,40.3546567556,Other roads and associated land
1,12,-4.10341901082,40.3585120816,Other roads and associated land
1,13,-4.10341901082,40.3623674076,Other roads and associated land
1,14,-4.10341901082,40.3662227336,Other roads and associated land
1,16,-4.10341901082,40.3739333856,Other roads and associated land
1,17,-4.10341901082,40.3777887116,Other roads and associated land
1,24,-4.10341901082,40.4047759936,Other roads and associated land
1,25,-4.10341901082,40.4086313196,Other roads and associated land
1,40,-4.10341901082,40.4664612095,Other roads and associated land
1,44,-4.10341901082,40.4818825135,Other roads and associated land
1,45,-4.10341901082,40.4857378395,Other roads and associated land
1,46,-4.10341901082,40.4895931655,Other roads and associated land
1,47,-4.10341901082,40.4934484915,Other roads and associated land
1,51,-4.10341901082,40.5088697954,Other roads and associated land
1,52,-4.10341901082,40.5127251214,Other roads and associated land
1,56,-4.10341901082,40.5281464254,Other roads and associated land
1,57,-4.10341901082,40.5320017514,Other roads and associated land
1,58,-4.10341901082,40.5358570774,Other roads and associated land
1,59,-4.10341901082,40.5397124034,Other roads and associated land
1,60,-4.10341901082,40.5435677294,Other roads and associated land
1,61,-4.10341901082,40.5474230554,Other roads and associated land
1,62,-4.10341901082,40.5512783814,Other roads and associated land
1,68,-4.10341901082,40.5744103374,Other roads and associated land
1,69,-4.10341901082,40.5782656633,Other roads and associated land
1,70,-4.10341901082,40.5821209893,Other roads and associated land
1,71,-4.10341901082,40.5859763153,Other roads and associated land
1,78,-4.10341901082,40.6129635973,Other roads and associated land
1,80,-4.10341901082,40.6206742493,Other roads and associated land
