grid-i,grid-j,lon,lat,class
0,56,12.1140888719,41.9302285687,Other roads and associated land
0,57,12.1140888719,41.9358302413,Other roads and associated land
0,59,12.1140888719,41.9470335863,Other roads and associated land
0,60,12.1140888719,41.9526352588,Other roads and associated land
0,61,12.1140888719,41.9582369313,Other roads and associated land
0,68,12.1140888719,41.997448639,Other roads and associated land
0,78,12.1140888719,42.0534653642,Other roads and associated land
0,79,12.1140888719,42.0590670367,Other roads and associated land
0,82,12.1140888719,42.0758720542,Other roads and associated land
1,55,12.1225342648,41.9246268962,Other roads and associated land
1,56,12.1225342648,41.9302285687,Other roads and associated land
1,57,12.1225342648,41.9358302413,Other roads and associated land
1,58,12.1225342648,41.9414319138,Other roads and associated land
1,59,12.1225342648,41.9470335863,Other roads and associated land
1,60,12.1225342648,41.9526352588,Other roads and associated land
1,61,12.1225342648,41.9582369313,Other roads and associated land
1,62,12.1225342648,41.9638386039,Other roads and associated land
1,64,12.1225342648,41.9750419489,Other roads and associated land
1,65,12.1225342648,41.9806436214,Other roads and associated land
1,68,12.1225342648,41.997448639,Other roads and associated land
1,69,12.1225342648,42.0030503115,Other roads and associated land
1,70,12.1225342648,42.008651984,Other roads and associated land
1,77,12.1225342648,42.0478636916,Other roads and associated land
1,78,12.1225342648,42.0534653642,Other roads and associated land
1,79,12.1225342648,42.0590670367,Other roads and associated land
1,80,12.1225342648,42.0646687092,Other roads and associated land
1,81,12.1225342648,42.0702703817,Other roads and associated land
1,82,12.1225342648,42.0758720542,Other roads and associated land
2,55,12.1309796577,41.9246268962,Other roads and associated land
2,56,12.1309796577,41.9302285687,Other roads and associated land
2,57,12.1309796577,41.9358302413,Other roads and associated land
2,58,12.1309796577,41.9414319138,Other roads and associated land
2,59,12.1309796577,41.9470335863,Other roads and associated land
2,60,12.1309796577,41.9526352588,Other roads and associated land
2,61,12.1309796577,41.9582369313,Other roads and associated land
2,62,12.1309796577,41.9638386039,Other roads and associated land
2,63,12.1309796577,41.9694402764,Other roads and associated land
2,64,12.1309796577,41.9750419489,Other roads and associated land
2,65,12.1309796577,41.9806436214,Other roads and associated land
2,68,12.1309796577,41.997448639,Other roads and associated land
2,69,12.1309796577,42.0030503115,Other roads and associated land
2,70,12.1309796577,42.008651984,Other roads and associated land
2,71,12.1309796577,42.0142536565,Other roads and associated land
2,77,12.1309796577,42.0478636916,Other roads and associated land
2,78,12.1309796577,42.0534653642,Other roads and associated land
2,79,12.1309796577,42.0590670367,Other roads and associated land
2,80,12.1309796577,42.0646687092,Other roads and associated land
2,81,12.1309796577,42.0702703817,Other roads and associated land
2,82,12.1309796577,42.0758720542,Other roads and associated land
3,54,12.1394250506,41.9190252237,Other roads and associated land
3,55,12.1394250506,41.9246268962,Other roads and associated land
3,56,12.1394250506,41.9302285687,Other roads and associated land
3,57,12.1394250506,41.9358302413,Other roads and associated land
3,58,12.1394250506,41.9414319138,Other roads and associated land
3,59,12.1394250506,41.9470335863,Other roads and associated land
3,60,12.1394250506,41.9526352588,Other roads and associated land
3,61,12.1394250506,41.9582369313,Other roads and associated land
3,62,12.1394250506,41.9638386039,Other roads and associated land
3,63,12.1394250506,41.9694402764,Other roads and associated land
3,64,12.1394250506,41.9750419489,Other roads and associated land
3,65,12.1394250506,41.9806436214,Other roads and associated land
3,66,12.1394250506,41.9862452939,Other roads and associated land
3,67,12.1394250506,41.9918469664,Other roads and associated land
3,68,12.1394250506,41.997448639,Other roads and associated land
3,69,12.1394250506,42.0030503115,Other roads and associated land
3,70,12.1394250506,42.008651984,Other roads and associated land
3,71,12.1394250506,42.0142536565,Other roads and associated land
3,72,12.1394250506,42.019855329,Other roads and associated land
3,73,12.1394250506,42.0254570016,Other roads and associated land
3,74,12.1394250506,42.0310586741,Other roads and associated land
3,75,12.1394250506,42.0366603466,Other roads and associated land
3,76,12.1394250506,42.0422620191,Other roads and associated land
3,77,12.1394250506,42.0478636916,Other roads and associated land
3,78,12.1394250506,42.0534653642,Other roads and associated land
3,79,12.1394250506,42.0590670367,Other roads and associated land
3,80,12.1394250506,42.0646687092,Other roads and associated land
3,81,12.1394250506,42.0702703817,Other roads and associated land
3,82,12.1394250506,42.0758720542,Other roads and associated land
3,83,12.1394250506,42.0814737267,Other roads and associated land
4,52,12.1478704435,41.9078218787,Other roads and associated land
4,53,12.1478704435,41.9134235512,Other roads and associated land
4,54,12.1478704435,41.9190252237,Other roads and associated land
4,55,12.1478704435,41.9246268962,Other roads and associated land
4,56,12.1478704435,41.9302285687,Other roads and associated land
4,57,12.1478704435,41.9358302413,Other roads and associated land
4,58,12.1478704435,41.9414319138,Other roads and associated land
4,59,12.1478704435,41.9470335863,Other roads and associated land
4,60,12.1478704435,41.9526352588,Other roads and associated land
4,61,12.1478704435,41.9582369313,Other roads and associated land
4,62,12.1478704435,41.9638386039,Other roads and associated land
4,63,12.1478704435,41.9694402764,Other roads and associated land
4,64,12.1478704435,41.9750419489,Other roads and associated land
4,65,12.1478704435,41.9806436214,Other roads and associated land
4,66,12.1478704435,41.9862452939,Other roads and associated land
4,67,12.1478704435,41.9918469664,Other roads and associated land
4,68,12.1478704435,41.997448639,Other roads and associated land
4,69,12.1478704435,42.0030503115,Other roads and associated land
4,70,12.1478704435,42.008651984,Other roads and associated land
4,71,12.1478704435,42.0142536565,Other roads and associated land
4,72,12.1478704435,42.019855329,Other roads and associated land
4,73,12.1478704435,42.0254570016,Other roads and associated land
4,74,12.1478704435,42.0310586741,Other roads and associated land
4,75,12.1478704435,42.0366603466,Other roads and associated land
4,77,12.1478704435,42.0478636916,Other roads and associated land
4,78,12.1478704435,42.0534653642,Other roads and associated land
4,79,12.1478704435,42.0590670367,Other roads and associated land
4,80,12.1478704435,42.0646687092,Other roads and associated land
4,81,12.1478704435,42.0702703817,Other roads and associated land
4,82,12.1478704435,42.0758720542,Other roads and associated land
4,83,12.1478704435,42.0814737267,Other roads and associated land
4,84,12.1478704435,42.0870753993,Other roads and associated land
5,52,12.1563158365,41.9078218787,Other roads and associated land
5,53,12.1563158365,41.9134235512,Other roads and associated land
5,54,12.1563158365,41.9190252237,Other roads and associated land
5,55,12.1563158365,41.9246268962,Other roads and associated land
5,56,12.1563158365,41.9302285687,Other roads and associated land
5,57,12.1563158365,41.9358302413,Other roads and associated land
5,58,12.1563158365,41.9414319138,Other roads and associated land
5,59,12.1563158365,41.9470335863,Other roads and associated land
5,60,12.1563158365,41.9526352588,Other roads and associated land
5,61,12.1563158365,41.9582369313,Other roads and associated land
5,62,12.1563158365,41.9638386039,Other roads and associated land
5,63,12.1563158365,41.9694402764,Other roads and associated land
5,64,12.1563158365,41.9750419489,Other roads and associated land
5,65,12.1563158365,41.9806436214,Other roads and associated land
5,66,12.1563158365,41.9862452939,Other roads and associated land
5,67,12.1563158365,41.9918469664,Other roads and associated land
5,68,12.1563158365,41.997448639,Other roads and associated land
5,72,12.1563158365,42.019855329,Other roads and associated land
5,73,12.1563158365,42.0254570016,Other roads and associated land
5,74,12.1563158365,42.0310586741,Other roads and associated land
5,75,12.1563158365,42.0366603466,Other roads and associated land
5,76,12.1563158365,42.0422620191,Other roads and associated land
5,77,12.1563158365,42.0478636916,Other roads and associated land
5,83,12.1563158365,42.0814737267,Other roads and associated land
5,84,12.1563158365,42.0870753993,Other roads and associated land
6,52,12.1647612294,41.9078218787,Other roads and associated land
6,53,12.1647612294,41.9134235512,Other roads and associated land
6,54,12.1647612294,41.9190252237,Other roads and associated land
6,55,12.1647612294,41.9246268962,Other roads and associated land
6,56,12.1647612294,41.9302285687,Other roads and associated land
6,57,12.1647612294,41.9358302413,Other roads and associated land
6,58,12.1647612294,41.9414319138,Other roads and associated land
6,59,12.1647612294,41.9470335863,Other roads and associated land
6,60,12.1647612294,41.9526352588,Other roads and associated land
6,61,12.1647612294,41.9582369313,Other roads and associated land
6,62,12.1647612294,41.9638386039,Other roads and associated land
6,63,12.1647612294,41.9694402764,Other roads and associated land
6,64,12.1647612294,41.9750419489,Other roads and associated land
6,65,12.1647612294,41.9806436214,Other roads and associated land
6,66,12.1647612294,41.9862452939,Other roads and associated land
6,67,12.1647612294,41.9918469664,Other roads and associated land
6,68,12.1647612294,41.997448639,Other roads and associated land
6,69,12.1647612294,42.0030503115,Other roads and associated land
6,70,12.1647612294,42.008651984,Other roads and associated land
6,71,12.1647612294,42.0142536565,Other roads and associated land
